label,pixel_u,pixel_v,lat,lon,elev_m,n_views,std_m,image
aruco_1,839.1,1485.2,43.1581819,-76.1379453,87.71,4,0.805,195459+195517
aruco_3,2064.5,1482.6,43.1581469,-76.1379324,86.2,6,0.718,195459+195517
