label,pixel_u,pixel_v,lat,lon,elev_m,n_views,std_m,image
aruco_1,839.75,1484.75,43.15818188,-76.13794525,87.71,4,0.8046,20260601-195517-NIR-OFF.jpg
aruco_3,2065.25,1482.25,43.15814688,-76.13793242,86.197,6,0.7176,20260601-195517-NIR-OFF.jpg
