label,pixel_u,pixel_v,lat,lon,elev_m,n_views,std_m,image
aruco_1,838.5,1485.5,43.15818188,-76.13794525,87.71,4,0.8046,20260601-195459-NIR-OFF.jpg
aruco_3,2063.75,1483.0,43.15814688,-76.13793242,86.197,6,0.7176,20260601-195459-NIR-OFF.jpg
