label,pixel_u,pixel_v,lat,lon,elev_m,n_views,std_m,image
aruco_3,1967.0,1386.0,43.15814688,-76.13793242,86.197,6,0.7176,20260601-161032-NIR-OFF.jpg
aruco_6,1545.75,1782.25,43.15818649,-76.13796203,87.512,6,2.0079,20260601-161032-NIR-OFF.jpg
